uuid,organization_name,location_name,street,city,state,postal_code,country,streetview_url
00bc6bdb-acfe-4651-84aa-8b750efa4a91,Bethanie French Seventh-day Adventist (SDA) Church,Probably Closed,2059 Bedford Ave,BROOKLYN,NY,11226,US,"https://www.google.com/maps/@40.65443801512181,-73.95621939108592,3a,75y,99.12584503990193h,8.300266850222513t/data=!3m6!1e1!3m4!1srC9hgj-9OxelNnFzXHMLJg!2e0!7i16384!8i8192"
02b3bcaf-5610-47bd-a2f4-5462090e1ce6,Staten Island Seventh-day Adventist (SDA) Church,,80 Union Ave,STATEN ISLAND,NY,10303,US,"https://www.google.com/maps/@40.63462781171471,-74.15837813428324,3a,75y,7.585122797704191h,5.74549214747509t/data=!3m6!1e1!3m4!1sR6-uMNMINXKOGBtiUQmeoA!2e0!7i16384!8i8192"
0769a3ff-fbca-458f-a33c-89dc1af0ac0a,The Salvation Army,Stapleton Corps,15 Broad Street,STATEN ISLAND,NY,10304,US,"https://www.google.com/maps/@40.706140094407594,-74.01088351730806,3a,75y,36.674456238843675h,4.655328706697958t/data=!3m6!1e1!3m4!1sVRBwyjeBT8v_n-T5yVcuiQ!2e0!7i16384!8i8192"
0bbd2e2c-c722-4521-a657-d51dd46bf71c,Beth Hark Christian Counseling Center Inc.,,26 E 120th St,NEW YORK,NY,10035,US,"https://www.google.com/maps/@40.80264122118322,-73.9432086524054,3a,75y,229.11090699425532h,-6.858344321755723t/data=!3m6!1e1!3m4!1sNjA4gFJUxvHxyUllJRMDFQ!2e0!7i16384!8i8192"
1202141e-773e-4777-9a40-d1f85e16f104,Open Door To Heaven Outreach Ministry Inc,Not sure they provide any services,474 Shepherd Avenue,BROOKLYN,NY,11208,US,"https://www.google.com/maps/@40.672673264026436,-73.88044764890479,3a,75y,-82.37135841966523h,0t/data=!3m6!1e1!3m4!1s73eCAcornOnFllUNoMK6ZQ!2e0!7i16384!8i8192"
128f2e18-505c-423f-bed7-825d5c64728e,Calvary Assembly of God,Food Provider,4055 Richmond Ave,STATEN ISLAND,NY,10312,US,"https://www.google.com/maps/@40.53954835271897,-74.1606692308185,3a,75y,45.05310945015988h,0t/data=!3m6!1e1!3m4!1saR4PAVlI3lroU48Tg2A19w!2e0!7i16384!8i8192"
178ca90c-f13b-4b80-93a8-95d95f26995c,Sky Light Center,,307 St. Marks Pl,STATEN ISLAND,NY,10301,US,"https://www.google.com/maps/@40.64249181817524,-74.07847661845997,3a,75y,60.895069094993445h,0t/data=!3m6!1e1!3m4!1sn9qDmPAHjhH9y2rofWJn9g!2e0!7i16384!8i8192"
180a65eb-6b53-4c4a-bed8-e99923966722,West Harlem Group Assistance,,625 Lenox Ave,NEW YORK,NY,10031,US,"https://www.google.com/maps/@40.81804797529184,-73.93843111382618,3a,75y,21.32039578945627h,0t/data=!3m6!1e1!3m4!1seNKO5QA_DseT9XH_4UtoVw!2e0!7i16384!8i8192"
1bac1c4b-93bd-4141-b4e3-d9bdad5c1968,Department of Probation,Manhattan,127 West 127th Street,NEW YORK,NY,10027,US,"https://www.google.com/maps/@40.8094864451366,-73.94552136387549,3a,75y,40.60041892469936h,3.662190761636637t/data=!3m6!1e1!3m4!1sIGa4zSBonR4hfjLg6IqWMg!2e0!7i16384!8i8192"
1c1a6284-4463-4b7b-805c-b64139f1bf9f,Veterans of Foreign Wars,,143-17 Springfield Boulevard,SPRINGFIELD GARDENS,NY,11413,US,"https://www.google.com/maps/@40.66808566666125,-73.75676118260407,3a,75y,84.52295176875813h,0t/data=!3m6!1e1!3m4!1sX3HrssmmMPFtTyu4hv8dVQ!2e0!7i16384!8i8192"
1c6de80e-42ba-4bc8-b5cf-37c314aa15f5,Temple Shaaray Tefila,,250 E 79th St,NEW YORK,NY,10021,US,"https://www.google.com/maps/@40.773502944991996,-73.95536835281658,3a,75y,224.12453687508344h,-9.93254700597734t/data=!3m6!1e1!3m4!1s1lDMnmB7hSk2PzSoRs3aVg!2e0!7i16384!8i8192"
1c7ec67a-8167-4d43-8466-dfca088dd912,Father Creavins Food Pantry,Resurrection Catholic Chapel,276 W 151st St,NEW YORK,NY,10039,US,"https://www.google.com/maps/@40.82603781356299,-73.93773229979678,3a,75y,-161.19573552975885h,0t/data=!3m6!1e1!3m4!1sPEGA0xhQgUfANA2xLo-mwQ!2e0!7i16384!8i8192"
1ebd1a5d-c3a1-404d-aaf2-830552e4deea,New York Common Pantry (NYCP),Manhattan,8 E 109th St,NEW YORK,NY,10029,US,"https://www.google.com/maps/@40.795928760751885,-73.94899643331856,3a,75y,208.17636059406874h,0.3089272243261263t/data=!3m6!1e1!3m4!1sXsh_RUvItLNkxXkQX46dyg!2e0!7i16384!8i8192"
1fbe925b-2c81-4002-bbf3-5791a6447ee8,Kingslawn United Presbyterian Church Food Pantry,,2368 Ralph Avenue,BROOKLYN,NY,11234,US,"https://www.google.com/maps/@40.62025053481465,-73.9173668331413,3a,75y,298.6649969711969h,2.29205817355637t/data=!3m6!1e1!3m4!1sf9bk_YsAFyhV-Qk15N9ImA!2e0!7i16384!8i8192"
