uuid,organization_name,location_name,street,city,state,postal_code,country,lat,lng,streetview_url
4d60d099-8b57-40bc-8686-73d36de751bb,Beyond Legal Aid,DO NOT WALK IN,40 5th Ave,New York,NY,10011,US,40.734151910550224,-73.99542895818139,
cc39d150-e48d-47b2-a316-614847e9c8ad,Hands That Make a Difference (HTMAD),Harlem Congregations for Community Improvement (HCCI),263 W 153rd St,New York,NY,10039,US,40.827646,-73.937192,
b41ce36f-81ca-4710-aec7-da6df8222251,NYCDOE Department of Education Public Schools,"Pathways to Graduation (P2G), Manhattan Referral Center, School Region 4","269 W 35th St, 7th, 10th, and 11th Floors",New York,NY,10001,US,40.75289595172927,-73.99251769359684,
e68347fc-c7de-43a1-ad1c-378ab1d96f85,City Harvest,Washington Heights/Inwood Mobile Market,3716 10th Ave,New York,NY,10034,US,40.85978416,-73.92315035471958,
efa2eeba-bffe-4e51-afc4-8674ca5b2e1d,City Harvest,Melrose Mobile Market,286 East 156th Street,BRONX,NY,10451,US,40.82186246,-73.92043180091076,
9883fd96-487a-4ffe-bc57-85728ff4a579,Bay Ridge Center - WRONG LOCATION,,29A Bay Ridge Ave,Brooklyn,NY,11220,US,40.63913330279557,-74.03506140343467,
e4ada515-6679-4059-b41b-6c1ba9869204,Parish of St. Joseph & St. Mary Immaculate,Closed,463 Tompkins Ave,Staten Island,NY,10305,US,40.6146329795706,-74.07239041817257,
e79329ab-d7d4-4145-96ee-7c9115c0e7d1,NYCDOE Department of Education Public Schools,Registration for P2G and AdultEd. Adult Education Classes are held here,365 Bay St,Staten Island,NY,10301,US,40.6333251643364,-74.0746975067543,
c5f91b44-3cca-4967-a1b5-7ba8fd7257b2,CUNY Brooklyn College,"Campus Pantry, 312 Student Center",2705 Campus Road,Brooklyn,NY,11210,US,40.632691585084736,-73.9504852517706,
7e29ee8c-d108-4a98-93e5-57c1b691f09d,City Harvest,Stapleton Mobile Market,84 Fulton Street,STATEN ISLAND,NY,10304,US,40.62118736812898,-74.08184899999999,
99b7f4ee-03ad-49c3-940b-c7bdf9ac13d7,City Harvest,Queensbridge Mobile Market,10-25 41st Ave,Queens,NY,11101,US,40.7555682950774,-73.94462971649608,
a83f6d26-2e8c-4cbb-8b13-5f8800e3116d,Venture House (VH),Brooklyn,885 Rogers Ave,Brooklyn,NY,11226,US,40.648671409569594,-73.95189029935777,
ab85005a-c785-4888-8827-51da0d34cf71,test,,429 E 53rd St,New York,NY,10022,US,40.7557129326067,-73.9638153327881,
52c79659-583d-4ac1-a3fc-bb2cf3e39fc7,Breaking Ground,Queens Drop-in Center (QDIC),100-32 Atlantic Ave,Jamaica,NY,11416,US,40.689640288991804,-73.84287523198776,
d900ee5c-5bcd-44d1-b461-951f01ee0be8,The Salvation Army,Bushwick Corps,1151 Bushwick Avenue,BROOKLYN,NY,11221,US,40.6894104,-73.9172009,
d37a24e3-4ddc-4015-8def-4611d32c9dd4,LGBT Network,Queens LGBT Center,35-11 35th Ave,Astoria,NY,11106,US,40.75671118405754,-73.92475344088957,
d018addb-7646-4a09-baa2-b25d6e200e46,Horeb Haitian Seventh-day Adventist (SDA) Church,Community Services,520 Kingston Avenue,BROOKLYN,NY,11225,US,40.6610227,-73.9431012,
bc73faeb-2a99-4a93-8296-dd0187d6f0a7,Family Enrichment Center (FEC) - Fordham/University Heights Harmony Hub,Catholic Guardian Services,2001A Creston Ave,Bronx,NY,10453,US,40.85163219936833,-73.90609477384483,
a9d640e7-25a9-4d5f-8afb-73bca5a5b515,East Flatbush Village,Community Outreach Office - Closed,309 Clarkson Ave,Brooklyn,NY,11226,US,40.655616654541134,-73.94947155450089,
90aa5132-5a62-418f-b4de-204ab731f4b4,Iris House,,2348 Adam Clayton Powell Jr Blvd,NEW YORK,NY,10030,US,40.8171309,-73.9428018,
83a01c33-8b83-42d4-887e-6794cfced947,THE CORE (To Help Embrace Community. Organizing. Resilience. Equality.) Family Enrichment Center (FEC) - Youth Ministries for Peace and Justice,East Tremont Head Start,1244 Manor Ave,Bronx,NY,10472,US,40.83046996812775,-73.87653266389952,
78f0a935-65a2-497c-b453-90aa4393995e,YMCA,"South Shore Center, Staten Island",3939 Richmond Ave,Staten Island,NY,10312,US,40.54253179546864,-74.16291650834475,
